ID,NL,MR,ALIGNMENT,MONOTONIC
56,what does flight code us mean,answer(airline_code(us)),"('what', 'answer'), ('does', 'ε'), ('flight', 'ε'), ('code', 'ε'), ('us', 'airline_code'), ('ε', 'us'), ('mean', 'ε')",1
57,what is fare code fn,answer(fare_basis_code(fn)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('fn', 'fn')",0
58,define airline hp,answer(airline_code(hp)),"('define', 'answer'), ('airline', 'airline_code'), ('hp', 'hp')",1
59,what airline is ea,answer(airline_code(ea)),"('what', 'answer'), ('airline', 'airline_code'), ('is', 'ε'), ('ea', 'ea')",0
60,what does nw stand for,answer(airline_code(nw)),"('what', 'answer'), ('does', 'ε'), ('nw', 'nw'), ('stand', 'airline_code'), ('for', 'ε')",1
61,what is hp,answer(airline_code(hp)),"('what', 'answer'), ('is', 'ε'), ('hp', 'airline_code'), ('ε', 'hp')",0
62,what is airline ff,answer(airline_code(ff)),"('what', 'answer'), ('is', 'ε'), ('airline', 'airline_code'), ('ff', 'ff')",1
63,what does fare code qo mean,answer(fare_basis_code(qo)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qo', 'qo'), ('mean', 'ε')",0
64,code ff,answer(airline_code(ff)),"('code', 'answer'), ('ff', 'airline_code'), ('ε', 'ff')",1
65,what is fare code qw,answer(fare_basis_code(qw)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qw', 'qw')",0
66,i'd like to see the fare code again qx,answer(fare_basis_code(qx)),"(""i'd"", 'answer'), ('like', 'ε'), ('to', 'ε'), ('see', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('again', 'ε'), ('qx', 'qx')",1
67,what does code yn mean,answer(fare_basis_code(yn)),"('what', 'answer'), ('does', 'ε'), ('code', 'fare_basis_code'), ('yn', 'yn'), ('mean', 'ε')",0
68,what does us stand for,answer(airline_code(us)),"('what', 'answer'), ('does', 'ε'), ('us', 'airline_code'), ('ε', 'us'), ('stand', 'ε'), ('for', 'ε')",1
69,what's fare code yn,answer(fare_basis_code(yn)),"(""what's"", 'answer'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('yn', 'yn')",0
70,what does us mean,answer(airline_code(us)),"('what', 'answer'), ('does', 'ε'), ('us', 'airline_code'), ('ε', 'us'), ('mean', 'ε')",1
71,what does the abbreviation dl mean,answer(airline_code(dl)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('abbreviation', 'airline_code'), ('dl', 'dl'), ('mean', 'ε')",0
72,what is hp,answer(airline_code(hp)),"('what', 'answer'), ('is', 'ε'), ('hp', 'airline_code'), ('ε', 'hp')",1
73,what does the fare code yn mean,answer(fare_basis_code(yn)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('yn', 'yn'), ('mean', 'ε')",0
74,what is airline dl,answer(airline_code(dl)),"('what', 'answer'), ('is', 'ε'), ('airline', 'airline_code'), ('dl', 'dl')",1
75,what does yn stand for,answer(fare_basis_code(yn)),"('what', 'answer'), ('does', 'ε'), ('yn', 'fare_basis_code'), ('ε', 'yn'), ('stand', 'ε'), ('for', 'ε')",0
76,what is sa,answer(days_code(sa)),"('what', 'answer'), ('is', 'ε'), ('sa', 'days_code'), ('ε', 'sa')",1
77,what airline is hp,answer(airline_code(hp)),"('what', 'answer'), ('airline', 'airline_code'), ('is', 'ε'), ('hp', 'hp')",0
78,what is airline nw,answer(airline_code(nw)),"('what', 'answer'), ('is', 'ε'), ('airline', 'airline_code'), ('nw', 'nw')",1
79,what does fare code qo mean,answer(fare_basis_code(qo)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qo', 'qo'), ('mean', 'ε')",0
80,what airline stands for hp,answer(airline_code(hp)),"('what', 'answer'), ('airline', 'ε'), ('stands', 'airline_code'), ('for', 'ε'), ('hp', 'hp')",1
81,what does us mean,answer(airline_code(us)),"('what', 'answer'), ('does', 'ε'), ('us', 'airline_code'), ('ε', 'us'), ('mean', 'ε')",0
82,what is ua,answer(airline_code(ua)),"('what', 'answer'), ('is', 'ε'), ('ua', 'airline_code'), ('ε', 'ua')",1
83,what does code qw mean,answer(fare_basis_code(qw)),"('what', 'answer'), ('does', 'ε'), ('code', 'fare_basis_code'), ('qw', 'qw'), ('mean', 'ε')",0
84,what is airline nw,answer(airline_code(nw)),"('what', 'answer'), ('is', 'ε'), ('airline', 'airline_code'), ('nw', 'nw')",1
85,what does fare code qw mean,answer(fare_basis_code(qw)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qw', 'qw'), ('mean', 'ε')",0
86,what does the fare code qx mean,answer(fare_basis_code(qx)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qx', 'qx'), ('mean', 'ε')",1
87,define airline ua,answer(airline_code(ua)),"('define', 'answer'), ('airline', 'airline_code'), ('ua', 'ua')",0
88,what is airline us,answer(airline_code(us)),"('what', 'answer'), ('is', 'ε'), ('airline', 'airline_code'), ('us', 'us')",1
89,what does fn under fare code mean,answer(fare_basis_code(fn)),"('what', 'answer'), ('does', 'ε'), ('fn', 'fn'), ('under', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('mean', 'ε')",0
90,describe fare code qx,answer(fare_basis_code(qx)),"('describe', 'answer'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qx', 'qx')",1
91,what is the yn code,answer(fare_basis_code(yn)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('yn', 'yn'), ('code', 'fare_basis_code')",0
92,what does the abbreviation ua mean,answer(airline_code(ua)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('abbreviation', 'airline_code'), ('ua', 'ua'), ('mean', 'ε')",1
93,what is as,answer(airline_code(as)),"('what', 'answer'), ('is', 'ε'), ('as', 'airline_code'), ('ε', 'as')",0
94,what does d/s stand for for meals,answer(meal_code(d_s)),"('what', 'answer'), ('does', 'ε'), ('d/s', 'd_s'), ('stand', 'meal_code'), ('for', 'ε'), ('for', 'ε'), ('meals', 'ε')",1
95,what is ewr,answer(airport_code(ewr)),"('what', 'answer'), ('is', 'ε'), ('ewr', 'airport_code'), ('ε', 'ewr')",0
96,what is bna,answer(airport_code(bna)),"('what', 'answer'), ('is', 'ε'), ('bna', 'airport_code'), ('ε', 'bna')",1
97,does the philadelphia airport have a name,answer(airport_code(phl)),"('does', 'answer'), ('the', 'ε'), ('philadelphia', 'ε'), ('airport', 'airport_code'), ('have', 'ε'), ('a', 'ε'), ('name', 'phl')",0
98,what is ewr,answer(airport_code(ewr)),"('what', 'answer'), ('is', 'ε'), ('ewr', 'airport_code'), ('ε', 'ewr')",1
99,what does ewr mean,answer(airport_code(ewr)),"('what', 'answer'), ('does', 'ε'), ('ewr', 'ewr'), ('mean', 'airport_code')",0
100,what is mco,answer(airport_code(mco)),"('what', 'answer'), ('is', 'ε'), ('mco', 'airport_code'), ('ε', 'mco')",1
101,what is mco,answer(airport_code(mco)),"('what', 'answer'), ('is', 'ε'), ('mco', 'airport_code'), ('ε', 'mco')",0
102,what does mco mean,answer(airport_code(mco)),"('what', 'answer'), ('does', 'ε'), ('mco', 'mco'), ('mean', 'airport_code')",1
103,what does ord mean,answer(airport_code(ord)),"('what', 'answer'), ('does', 'ε'), ('ord', 'ord'), ('mean', 'airport_code')",0
104,what type of plane is an m80,answer(aircraft_code(m80)),"('what', 'answer'), ('type', 'ε'), ('of', 'ε'), ('plane', 'aircraft_code'), ('is', 'ε'), ('an', 'ε'), ('m80', 'm80')",1
105,what does hou mean,answer(airport_code(hou)),"('what', 'answer'), ('does', 'ε'), ('hou', 'hou'), ('mean', 'airport_code')",0
106,what is the abbreviation d10,answer(aircraft_code(d10)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('abbreviation', 'aircraft_code'), ('d10', 'd10')",1
107,what is yyz,answer(airport_code(yyz)),"('what', 'answer'), ('is', 'ε'), ('yyz', 'airport_code'), ('ε', 'yyz')",0
108,what is mia,answer(airport_code(mia)),"('what', 'answer'), ('is', 'ε'), ('mia', 'airport_code'), ('ε', 'mia')",1
109,what is the name of the airport at denver,answer(airport_code(den)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('name', 'den'), ('of', 'ε'), ('the', 'ε'), ('airport', 'airport_code'), ('at', 'ε'), ('denver', 'ε')",0
110,what does mco stand for,answer(airport_code(mco)),"('what', 'answer'), ('does', 'ε'), ('mco', 'mco'), ('stand', 'airport_code'), ('for', 'ε')",1
111,what does ewr mean,answer(airport_code(ewr)),"('what', 'answer'), ('does', 'ε'), ('ewr', 'ewr'), ('mean', 'airport_code')",0
112,what is the name of the airport in philadelphia,answer(airport_code(phl)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('name', 'phl'), ('of', 'ε'), ('the', 'ε'), ('airport', 'airport_code'), ('in', 'ε'), ('philadelphia', 'ε')",1
113,what does lax stand for,answer(airport_code(lax)),"('what', 'answer'), ('does', 'ε'), ('lax', 'lax'), ('stand', 'airport_code'), ('for', 'ε')",0
114,what is ewr,answer(airport_code(ewr)),"('what', 'answer'), ('is', 'ε'), ('ewr', 'airport_code'), ('ε', 'ewr')",1
115,describe pittsburgh airport,answer(airport_code(pit)),"('describe', 'answer'), ('pittsburgh', 'pit'), ('airport', 'airport_code')",0
116,what is mco,answer(airport_code(mco)),"('what', 'answer'), ('is', 'ε'), ('mco', 'airport_code'), ('ε', 'mco')",1
117,what's the name of the denver airport,answer(airport_code(den)),"(""what's"", 'answer'), ('the', 'ε'), ('name', 'den'), ('of', 'ε'), ('the', 'ε'), ('denver', 'ε'), ('airport', 'airport_code')",0
118,please list information regarding san francisco airport,answer(airport_code(sfo)),"('please', 'ε'), ('list', 'answer'), ('information', 'ε'), ('regarding', 'sfo'), ('san', 'ε'), ('francisco', 'ε'), ('airport', 'airport_code')",1
119,what is ewr,answer(airport_code(ewr)),"('what', 'answer'), ('is', 'ε'), ('ewr', 'airport_code'), ('ε', 'ewr')",0
120,what is ewr,answer(airport_code(ewr)),"('what', 'answer'), ('is', 'ε'), ('ewr', 'airport_code'), ('ε', 'ewr')",1
121,what does mco stand for,answer(airport_code(mco)),"('what', 'answer'), ('does', 'ε'), ('mco', 'mco'), ('stand', 'airport_code'), ('for', 'ε')",0
122,what does dfw mean,answer(airport_code(dfw)),"('what', 'answer'), ('does', 'ε'), ('dfw', 'dfw'), ('mean', 'airport_code')",1
123,what is bur,answer(airport_code(bur)),"('what', 'answer'), ('is', 'ε'), ('bur', 'airport_code'), ('ε', 'bur')",0
124,explain meal codes sd/d,answer(meal_code(sd_d)),"('explain', 'answer'), ('meal', 'meal_code'), ('codes', 'ε'), ('sd/d', 'sd_d')",1
125,what is the ap/57 restriction,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('ap/57', 'ap_57'), ('restriction', 'meal_code')",0
126,explain restriction ap80,answer(meal_code(ap_80)),"('explain', 'answer'), ('restriction', 'meal_code'), ('ap80', 'ap_80')",1
127,what does ap57 mean,answer(meal_code(ap_57)),"('what', 'answer'), ('does', 'ε'), ('ap57', 'meal_code'), ('ε', 'ap_57'), ('mean', 'ε')",0
128,what does restriction ap/57 mean,answer(meal_code(ap_57)),"('what', 'answer'), ('does', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57'), ('mean', 'ε')",1
129,what is restriction ap57,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap57', 'ap_57')",0
130,what is restriction ap57,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap57', 'ap_57')",1
131,what does restriction ap/57 mean,answer(meal_code(ap_57)),"('what', 'answer'), ('does', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57'), ('mean', 'ε')",0
132,what's restriction ap68,answer(meal_code(ap_68)),"(""what's"", 'answer'), ('restriction', 'meal_code'), ('ap68', 'ap_68')",1
133,what is restriction ap/80,answer(meal_code(ap_80)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap/80', 'ap_80')",0
134,what is restriction ap/57,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57')",1
135,what does restriction ap/57,answer(meal_code(ap_57)),"('what', 'answer'), ('does', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57')",0
136,what is restriction ap80,answer(meal_code(ap_80)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap80', 'ap_80')",1
137,what does restriction ap/57 mean,answer(meal_code(ap_57)),"('what', 'answer'), ('does', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57'), ('mean', 'ε')",0
138,what is the meaning of restriction ap80,answer(meal_code(ap_80)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('meaning', 'meal_code'), ('of', 'ε'), ('restriction', 'ε'), ('ap80', 'ap_80')",1
139,explain the restriction ap/57,answer(meal_code(ap_57)),"('explain', 'answer'), ('the', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57')",0
140,what is restriction ap/55,answer(meal_code(ap_55)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap/55', 'ap_55')",1
141,what is restriction ap/57,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57')",0
142,explain restriction ap/57,answer(meal_code(ap_57)),"('explain', 'answer'), ('restriction', 'meal_code'), ('ap/57', 'ap_57')",1
143,what is restriction ap/57,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('restriction', 'meal_code'), ('ap/57', 'ap_57')",0
144,what does restriction ap/80 mean,answer(meal_code(ap_80)),"('what', 'answer'), ('does', 'ε'), ('restriction', 'meal_code'), ('ap/80', 'ap_80'), ('mean', 'ε')",1
145,what is the ap57 restriction,answer(meal_code(ap_57)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('ap57', 'ap_57'), ('restriction', 'meal_code')",0
146,how many passengers fit on a d9s,answer(_capacity(aircraft_code(d9s))),"('how', 'answer'), ('many', 'ε'), ('passengers', '_capacity'), ('fit', 'aircraft_code'), ('on', 'ε'), ('a', 'ε'), ('d9s', 'd9s')",1
147,how many people fit on a 73s,answer(_capacity(aircraft_code(73s))),"('how', 'answer'), ('many', 'ε'), ('people', '_capacity'), ('fit', 'aircraft_code'), ('on', 'ε'), ('a', 'ε'), ('73s', '73s')",0
148,how many seats in a 100,answer(_capacity(aircraft_code(100))),"('how', 'answer'), ('many', 'ε'), ('seats', '_capacity'), ('ε', 'aircraft_code'), ('in', 'ε'), ('a', 'ε'), ('100', '100')",1
149,what's the capacity of a 733,answer(_capacity(aircraft_code(733))),"(""what's"", 'answer'), ('the', 'ε'), ('capacity', '_capacity'), ('ε', 'aircraft_code'), ('of', 'ε'), ('a', 'ε'), ('733', '733')",0
150,what is the seating capacity for the f28,answer(_capacity(aircraft_code(f28))),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('seating', '_capacity'), ('capacity', 'aircraft_code'), ('for', 'ε'), ('the', 'ε'), ('f28', 'f28')",1
151,how many people fit on a 72s airplane,answer(_capacity(aircraft_code(72s))),"('how', 'answer'), ('many', 'ε'), ('people', '_capacity'), ('fit', 'aircraft_code'), ('on', 'ε'), ('a', 'ε'), ('72s', '72s'), ('airplane', 'ε')",0
152,how many seats in a 72s,answer(_capacity(aircraft_code(72s))),"('how', 'answer'), ('many', 'ε'), ('seats', '_capacity'), ('ε', 'aircraft_code'), ('in', 'ε'), ('a', 'ε'), ('72s', '72s')",1
153,what do these cost,answer(_fare(_flight(all))),"('what', 'answer'), ('do', 'ε'), ('these', '_flight(all)'), ('cost', '_fare')",0
154,show me the flights,answer(_flight(all)),"('show', 'answer'), ('me', 'ε'), ('the', 'ε'), ('flights', '_flight(all)')",1
155,one way,answer(_oneway(_flight(all))),"('ε', 'answer'), ('one', '_oneway'), ('way', '_flight(all)')",0
156,show me airline abbreviations,answer(_airline(all)),"('show', 'answer'), ('me', 'ε'), ('airline', 'ε'), ('abbreviations', '_airline(all)')",1
157,show me airline abbreviations,answer(_airline(all)),"('show', 'answer'), ('me', 'ε'), ('airline', 'ε'), ('abbreviations', '_airline(all)')",0
158,which airlines are represented in the database,answer(_airline(all)),"('which', 'answer'), ('airlines', 'ε'), ('are', 'ε'), ('represented', 'ε'), ('in', 'ε'), ('the', 'ε'), ('database', '_airline(all)')",1
159,what types of meals are available,answer(_meal_code(all)),"('what', 'answer'), ('types', 'ε'), ('of', 'ε'), ('meals', '_meal_code(all)'), ('are', 'ε'), ('available', 'ε')",0
160,show me the airlines,answer(_airline(all)),"('show', 'answer'), ('me', 'ε'), ('the', 'ε'), ('airlines', '_airline(all)')",1
161,names of airports,answer(_airport(all)),"('names', 'answer'), ('of', 'ε'), ('airports', '_airport(all)')",0
162,airports,answer(_airport(all)),"('ε', 'answer'), ('airports', '_airport(all)')",1
163,what airlines are there,answer(_airline(all)),"('what', 'answer'), ('airlines', '_airline(all)'), ('are', 'ε'), ('there', 'ε')",0
164,does midwest express serve montreal,"answer(_services(airline_code(yx),city_name(montreal)))","('does', 'answer'), ('midwest', '_services'), ('express', 'airline_code'), ('ε', 'yx'), ('ε', 'city_name'), ('serve', 'ε'), ('montreal', 'montreal')",1
165,does midwest express serve baltimore,"answer(_services(airline_code(yx),city_name(baltimore)))","('does', 'answer'), ('midwest', '_services'), ('express', 'airline_code'), ('ε', 'yx'), ('ε', 'city_name'), ('serve', 'ε'), ('baltimore', 'baltimore')",0
166,what are all the available meals,answer(_meal_code(all)),"('what', 'answer'), ('are', 'ε'), ('all', 'ε'), ('the', 'ε'), ('available', 'ε'), ('meals', '_meal_code(all)')",1
